id,type,dc\.identifier,inScheme,member,prefLabel,notation,topConceptOf,hasTopConcept
collection:kleur,http://www.w3.org/2004/02/skos/core#Collection,be.vlaanderen.bodemenondergrond.data.id.collection.kleur.kleur,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/0|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/101|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/102|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/103|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/104|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/105|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/106|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/107|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/108|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/10|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/11|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/123|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/12|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/130|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/131|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/132|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/133|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/134|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/13|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/14|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/15|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/16|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/17|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/18|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/19|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/1|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/201|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/202|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/203|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/204|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/206|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/207|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/208|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/20|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/21|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/223|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/22|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/230|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/231|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/232|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/233|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/234|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/23|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/24|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/25|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/26|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/27|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/28|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/29|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/2|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/301|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/302|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/303|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/304|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/305|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/306|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/307|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/308|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/309|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/30|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/310|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/311|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/312|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/313|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/314|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/315|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/316|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/317|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/318|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/319|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/31|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/320|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/321|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/322|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/323|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/324|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/325|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/326|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/327|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/328|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/329|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/32|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/330|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/331|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/332|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/333|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/334|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/335|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/336|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/337|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/338|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/339|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/33|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/340|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/341|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/342|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/343|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/344|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/345|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/346|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/347|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/348|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/349|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/34|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/350|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/351|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/352|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/353|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/355|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/356|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/357|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/358|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/359|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/360|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/361|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/362|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/363|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/364|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/365|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/366|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/367|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/368|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/369|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/370|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/371|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/372|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/373|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/374|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/375|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/376|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/377|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/378|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/379|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/380|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/381|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/382|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/383|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/384|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/385|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/386|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/387|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/388|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/390|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/391|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/392|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/393|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/394|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/395|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/396|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/397|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/398|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/399|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/3|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/400|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/401|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/402|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/403|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/404|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/405|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/406|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/407|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/408|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/409|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/40|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/410|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/411|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/412|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/413|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/414|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/415|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/416|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/417|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/418|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/419|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/41|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/420|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/421|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/422|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/423|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/424|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/425|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/426|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/427|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/428|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/429|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/42|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/430|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/431|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/432|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/433|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/434|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/435|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/436|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/437|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/438|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/439|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/43|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/440|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/441|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/442|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/443|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/444|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/445|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/446|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/447|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/448|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/449|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/44|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/450|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/451|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/452|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/453|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/454|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/455|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/456|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/457|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/458|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/459|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/45|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/460|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/461|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/462|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/463|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/464|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/465|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/466|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/467|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/468|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/469|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/46|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/470|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/471|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/472|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/473|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/474|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/47|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/48|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/49|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/4|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/50|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/51|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/52|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/53|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/54|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/55|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/56|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/57|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/58|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/59|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/5|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/60|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/61|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/62|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/63|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/64|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/65|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/66|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/67|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/68|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/69|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/6|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/70|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/71|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/72|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/73|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/74|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/75|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/76|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/77|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/78|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/79|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/7|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/80|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/81|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/82|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/83|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/84|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/85|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/86|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/87|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/88|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/89|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/8|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/90|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/91|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/92|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/93|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/94|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/95|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/96|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/97|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/98|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/99|https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/9,Collectie van kleur.,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/0,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.kleur.0,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null,onbekend,0,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/1,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.kleur.1,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null,beige,1,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/10,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.kleur.10,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null,zwart,10,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/101,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.kleur.101,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null,lichtbeige,101,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/102,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.kleur.102,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null,lichtblauw,102,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/103,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.kleur.103,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null,lichtbruin,103,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/104,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.kleur.104,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null,lichtgeel,104,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/105,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.kleur.105,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null,lichtgrijs,105,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/kleur/106,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.kleur.106,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null,lichtgroen,106,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/kleur,null
