uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:kleuren,skos:Collection,kleuren,,,Collectie van kleuren.,,,,,,,,,,,,,cs,kleur,,,,,,
ct:1,skos:Concept,1,colt:kleuren,,beige,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:86,skos:Concept,86,colt:kleuren,,beigeblauw,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:11,skos:Concept,11,colt:kleuren,,beigebruin,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:87,skos:Concept,87,colt:kleuren,,beigegeel,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:88,skos:Concept,88,colt:kleuren,,beigegrijs,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:89,skos:Concept,89,colt:kleuren,,beigegroen,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:90,skos:Concept,90,colt:kleuren,,beigekaki,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:91,skos:Concept,91,colt:kleuren,,beigemauve,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:92,skos:Concept,92,colt:kleuren,,beigeoker,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:93,skos:Concept,93,colt:kleuren,,beigeolijfgroen,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:94,skos:Concept,94,colt:kleuren,,beigeoranje,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:95,skos:Concept,95,colt:kleuren,,beigeroest,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:96,skos:Concept,96,colt:kleuren,,beigerood,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:97,skos:Concept,97,colt:kleuren,,beigeroos,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:413,skos:Concept,413,colt:kleuren,,beigewit,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:427,skos:Concept,427,colt:kleuren,,beigezwart,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:2,skos:Concept,2,colt:kleuren,,blauw,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:98,skos:Concept,98,colt:kleuren,,blauwbeige,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:99,skos:Concept,99,colt:kleuren,,blauwbruin,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:301,skos:Concept,301,colt:kleuren,,blauwgeel,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:12,skos:Concept,12,colt:kleuren,,blauwgrijs,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:13,skos:Concept,13,colt:kleuren,,blauwgroen,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:302,skos:Concept,302,colt:kleuren,,blauwkaki,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:303,skos:Concept,303,colt:kleuren,,blauwmauve,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
ct:304,skos:Concept,304,colt:kleuren,,blauwoker,,,,,,,,,,,,,cs:kleur,,,,,,,cs:kleur
